Name,Latitude,Longitude,City,State,Country,Code
Amazon_TIJ1,32.5317397,-117.0195290,Tijuana,Baja California,Mexico,TIJ1
Amazon_GDL1,20.6720375,-103.3383960,Guadalajara,Jalisco,Mexico,GDL1
Amazon_MTY1,25.6802019,-100.3152580,Monterrey,Nuevo León,Mexico,MTY1
Amazon_HMO1,29.0948207,-110.9692202,Hermosillo,Sonora,Mexico,HMO1
Amazon_MEX1,19.6531356,-99.2145002,Cuautitlán Izcalli,State of Mexico,Mexico,MEX1
Amazon_MEX2,19.6531356,-99.2145002,Cuautitlán Izcalli,State of Mexico,Mexico,MEX2
Amazon_MEX3,19.7187644,-99.3069331,Tepotzotlán,State of Mexico,Mexico,MEX3
